Model Name,Simulation File Name,Legacy Simulation File Name,Simulation Fidelity,Simulation Method,Simulation Condition,Results Type,Results File Type,Simulation Creator,Notes
0009_H_AO_H,0009_H_AO_H_3D_RIGID_VTU.zip,0092_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),John F. LaDisa,-
0010_H_AO_H,0010_H_AO_H_3D_RIGID_VTP.zip,0093_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),John F. LaDisa,-
0010_H_AO_H,0010_H_AO_H_3D_RIGID_VTU.zip,0093_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),John F. LaDisa,-
0011_H_AO_H,0011_H_AO_H_3D_RIGID_VTP.zip,0094_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),John F. LaDisa,-
0011_H_AO_H,0011_H_AO_H_3D_RIGID_VTU.zip,0094_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),John F. LaDisa,-
0012_H_AO_H,0012_H_AO_H_3D_RIGID_VTP.zip,0095_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),John F. LaDisa,-
0012_H_AO_H,0012_H_AO_H_3D_RIGID_VTU.zip,0095_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),John F. LaDisa,-
0060_H_PULMGLN_SVD,0060_H_PULMGLN_SVD_3D_RIGID_VTP.zip,0096_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Guillaume Troianowski,-
0060_H_PULMGLN_SVD,0060_H_PULMGLN_SVD_3D_RIGID_VTU.zip,0096_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Guillaume Troianowski,-
0061_H_PULMGLN_SVD,0061_H_PULMGLN_SVD_3D_RIGID_VTP.zip,0097_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Guillaume Troianowski,-
0061_H_PULMGLN_SVD,0061_H_PULMGLN_SVD_3D_RIGID_VTU.zip,0097_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Guillaume Troianowski,-
